Categoria;Quantidade
Ativista político;2
Advogado;5
Arquiteto;1
Cargos políticos ;3
Cientista político;1
Formado em comunicação social;1
Professor (a)  de História ;2
Professor ;4
Político ;4
Economista;1
Educador/ educadora;1
Empresário;1
Sociólogo;1
Historiador;1
Escritor;5
Filósofo;2
Youtuber;1
