Categoria;Quantidade 
Analista político ;1
Arqueólogo;1
Arquiteto;1
Cientista político;6
Diplomata;1
Descente da família real;2
Escritor;10
Jornalista;6
Professor ;5
Professor de História;2
Diretor de escola, institutos;1
Historiador;3
Palestrante;1
Economista;2
Empresário;4
Filósofo (formado);1
Youtuber;1
Pesquisador;4
Teólogo ;1
Sociólogo;2
Ligados à órgãos públicos (IBGE);1
Ligados a entidades, think tanks conservadores-liberais (Mises, Millenium e etc.);3
Padre;1
