Categoria;Quantidade
Arquiteto;1
Especialista estrangeiro;5
Jornalista;6
Escritor (ensaísta, articulista);9
Palestrante;2
Representantes de entidades;3
Empresário;2
Advogado;3
Historiador;3
Historiador (autodidata);1
Filósofo (formados);1
Filósofos não formados;1
Cientista político;2
Pesquisador;1
